ticker,strategy,signal_date,entry_date,exit_date,signal,entry_price,exit_price,pnl_pct,critic_agree,confidence_before,confidence_after,stance_before,stance_after
TSLA,llm,2025-10-17,2025-10-20,2025-10-27,BUY,443.87,439.98,-0.008764,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-20,2025-10-21,2025-10-28,BUY,445.76,454.78,0.020235,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-21,2025-10-22,2025-10-29,BUY,443.45,462.5,0.042959,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-23,2025-10-24,2025-10-31,BUY,446.83,446.75,-0.000179,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-28,2025-10-29,2025-11-05,BUY,462.5,452.05,-0.022595,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-29,2025-10-30,2025-11-06,BUY,451.05,461.96,0.024188,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-31,2025-11-03,2025-11-10,BUY,455.99,439.6,-0.035944,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-11-03,2025-11-04,2025-11-11,BUY,454.46,439.4,-0.033138,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-11-13,2025-11-14,2025-11-21,SELL,386.3,402.32,-0.04147,True,0.5,0.5,SELL,SELL
TSLA,llm,2025-11-18,2025-11-19,2025-11-26,SELL,406.18,423.95,-0.043749,True,0.5,0.5,SELL,SELL
TSLA,llm,2025-11-19,2025-11-20,2025-11-28,SELL,414.63,426.59,-0.028845,True,0.5,0.5,SELL,SELL
TSLA,llm,2025-11-21,2025-11-24,2025-12-02,SELL,402.17,430.81,-0.071214,True,0.5,0.5,SELL,SELL
TSLA,llm,2025-12-03,2025-12-04,2025-12-11,BUY,449.94,448.95,-0.0022,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-04,2025-12-05,2025-12-12,BUY,453.03,448.09,-0.010904,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-05,2025-12-08,2025-12-15,BUY,447.45,469.44,0.049145,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-09,2025-12-10,2025-12-17,BUY,446.07,488.22,0.094492,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-15,2025-12-16,2025-12-23,BUY,472.21,489.4,0.036403,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-16,2025-12-17,2025-12-24,BUY,488.22,488.48,0.000533,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-17,2025-12-18,2025-12-26,BUY,478.16,485.23,0.014786,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-18,2025-12-19,2025-12-29,BUY,488.12,469.0,-0.039171,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-12-19,2025-12-22,2025-12-30,BUY,489.88,461.09,-0.05877,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-01,2025-10-02,2025-10-09,BUY,358.26,373.14,0.041534,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-02,2025-10-03,2025-10-10,BUY,357.12,367.54,0.029178,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-03,2025-10-06,2025-10-13,BUY,362.16,376.5,0.039596,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-06,2025-10-07,2025-10-14,BUY,366.51,378.21,0.031923,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-07,2025-10-08,2025-10-15,BUY,371.65,385.93,0.038423,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-08,2025-10-09,2025-10-16,BUY,373.14,391.15,0.048266,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-09,2025-10-10,2025-10-17,BUY,367.54,397.14,0.080535,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-10,2025-10-13,2025-10-20,BUY,376.5,397.45,0.055644,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-13,2025-10-14,2025-10-21,BUY,378.21,386.54,0.022025,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-14,2025-10-15,2025-10-22,BUY,385.93,372.75,-0.034151,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-15,2025-10-16,2025-10-23,BUY,391.15,381.46,-0.024773,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-16,2025-10-17,2025-10-24,BUY,397.14,378.51,-0.04691,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-17,2025-10-20,2025-10-27,BUY,397.45,371.13,-0.066222,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-20,2025-10-21,2025-10-28,BUY,386.54,361.81,-0.063978,True,0.5,0.5,BUY,BUY
GLD,llm,2025-10-29,2025-10-30,2025-11-06,SELL,365.09,367.16,-0.00567,True,0.5,0.5,SELL,SELL
GLD,llm,2025-11-10,2025-11-11,2025-11-18,BUY,379.98,374.83,-0.013553,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-11,2025-11-12,2025-11-19,BUY,380.07,377.78,-0.006025,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-12,2025-11-13,2025-11-20,BUY,387.29,375.29,-0.030985,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-13,2025-11-14,2025-11-21,BUY,372.87,374.03,0.003111,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-14,2025-11-17,2025-11-24,BUY,374.04,374.88,0.002246,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-24,2025-11-25,2025-12-03,BUY,380.26,388.46,0.021564,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-26,2025-11-28,2025-12-05,BUY,385.98,389.12,0.008135,True,0.5,0.5,BUY,BUY
GLD,llm,2025-11-28,2025-12-01,2025-12-08,BUY,390.61,387.02,-0.009191,True,0.5,0.5,BUY,BUY
GLD,llm,2025-12-01,2025-12-02,2025-12-09,BUY,388.87,385.62,-0.008358,True,0.5,0.5,BUY,BUY
GLD,llm,2025-12-12,2025-12-15,2025-12-22,BUY,397.76,406.98,0.02318,True,0.5,0.5,BUY,BUY
GLD,llm,2025-12-15,2025-12-16,2025-12-23,BUY,397.75,410.3,0.031552,True,0.5,0.5,BUY,BUY
GLD,llm,2025-12-16,2025-12-17,2025-12-24,BUY,398.08,412.25,0.035596,True,0.5,0.5,BUY,BUY
GLD,llm,2025-12-17,2025-12-18,2025-12-26,BUY,398.28,416.48,0.045697,True,0.5,0.5,BUY,BUY
